,pageids,terms,titles,terRms
65,"['948020', '2194910', '59988', '5040533', '27610954', '85490', '145159', '1120701', '488743', '703651', '47349607', '714646', '25812837', '1078828', '1755162', '313009', '11725', '1027729', '2533673', '31559531', '16095249', '3587535', '28979', '1581920', '1730242', '47401261', '12523440', '777293', '21718863', '743397', '1660874', '29500', '477500', '1242027', '11044804', '288328', '170567', '238097', '1140141', '1102307', '841077', '715934', '173316', '1045561']",,"['Drug overdose', 'History of poison', 'Nicotine poisoning', 'Arsenic poisoning', 'Animal lead poisoning', 'Carbon monoxide poisoning', 'Amnesic shellfish poisoning', 'Scombroid food poisoning', 'Chlorine gas poisoning', 'Ciguatera', 'Thallium poisoning', 'Grinker myelinopathy', 'Syrup of ipecac', 'Carisoprodol', 'Organophosphate poisoning', 'Water intoxication', 'Dextropropoxyphene', 'Testosterone poisoning', 'Nitrogen dioxide poisoning', 'Serotonin syndrome', 'Aconitum', 'Physostigmine', 'Topiramate', 'Zopiclone', 'Fluoride toxicity', 'Outline of emergency medicine', '4-Aminopyridine', 'Flunitrazepam', 'Homeopathic Materia Medica', 'Atropine', 'Toxicity', 'Dimercaptosuccinic acid', 'Bromazepam', 'Ouabain', 'Hyoscine', 'Kolokol-1', 'Warfarin', 'Fomepizole', 'Cocaine intoxication', '2,4-Dinitrophenol', 'Zileuton', 'Metoprolol', 'Strychnine', 'Snakebite']",Poisons and Overdoses
66,"['1930919', '1399190', '25468647', '16872890', '598423', '3146245', '35287503', '38846583', '8695082', '8053575', '18662326', '3208614', '4682876', '463734', '37251163', '2159778', '15422486', '706186', '22277265', '39107086', '2815180', '22806368', '10120909', '19642896', '33583']",,"['Reproductive health', 'Reproductive rights', 'Sexual and reproductive health and rights', 'Reproductive justice', 'Reproductive coercion', 'Female reproductive system', 'Assisted reproductive technology', 'Sexual health clinic', 'Population Action International', 'Demographic and Health Surveys', 'Reproductive toxicity', 'World Health Organization', 'Babatunde Osotimehin', 'Freedom of Access to Clinic Entrances Act', 'Health policy', 'Professional degrees of public health', 'Maternal health', 'Gender disparities in health', 'Wan Smolbag Theatre', 'Porcine reproductive and respiratory syndrome virus', 'Public health', 'UCLA School of Public Health', 'Gender Inequality Index', 'Abortion clinic', 'Social franchising']",Reproductive Health
67,"['210286', '18978770', '38850484', '614534', '515898', '1995486', '396065', '6811', '83449', '5373', '22623', '5980612', '18301326', '581220', '31559443', '18939', '2591405', '231085', '34770010', '18053246', '435128', '72156', '25659940', '26521347', '675277', '2124669', '42751158', '23484633', '10091322', '79449', '7650180', '17416907', '429542', '39906058', '24364888', '3191759', '7303211', '37251163', '228824', '3277960', '5471132', '720902', '321263', '19196455', '2573143']",,"['Birth control', 'Birth control in Africa', 'Religion and birth control', 'History of birth control', 'Combined oral contraceptive pill', 'Birth rate', 'Etonogestrel birth control implant', 'Reproductive coercion', 'Prevalence of birth control', 'Protestant views on contraception', 'Comparison of birth control methods', 'Birth certificate', 'Home birth', 'Multiple birth', 'Contraceptive implant', 'Male contraceptive', 'Family planning', 'Preterm birth', 'Contraceptive sponge', 'Birth weight', 'Human population planning', 'Birth order', 'Centers for Disease Control and Prevention', 'Levonorgestrel', 'Emergency contraception', 'Miraculous births', 'Natural fertility', 'Unassisted childbirth', 'Quiverfull', 'Coitus interruptus', 'Inhibitory control', 'Intrauterine device', 'Childbirth', 'Teenage pregnancy', 'Posthumous birth', 'Domestic violence and pregnancy', 'History of condoms', 'Medroxyprogesterone acetate', 'Casti connubii', 'Medieval contraception', 'Compulsory sterilization', 'Congenital disorder', 'Beginning of pregnancy controversy', 'Natural family planning', 'Douche']",Birth Control
68,"['292094', '2985223', '31333922', '6502679', '147092', '25370267', '39230876', '2132976', '13623162', '18834674', '1988622', '1245311', '316759', '19637376', '410851', '28026391', '33973815', '1208899', '1195861', '410384', '10525403', '239462', '21866643', '292103', '83896', '1021154', '2332185', '1065584', '19045980', '26862', '46895003', '32565', '382271', '14187008', '780845']",,"['Sildenafil', 'Erection', 'Penile prosthesis', 'Sex therapy', 'Apricus Biosciences', 'Tadalafil', 'Bicycle saddle', 'Anorgasmia', 'Yohimbine', 'Papaverine', 'Cock ring', 'Endothelial NOS', 'Prostatectomy', 'Female sexual arousal disorder', 'Finasteride', 'Sexological testing', 'Priapism', 'Hyperprolactinaemia', 'KwikMed', 'Prolactinoma', 'Penile plethysmograph', 'Postorgasmic illness syndrome', 'Premature ejaculation', 'Sexology', 'Death during consensual sex', 'Phosphodiesterase', 'Complications of diabetes mellitus', 'Urethroplasty', 'Kegel exercise', 'Dutasteride', 'Il nano e la strega', 'Apomorphine', 'Sexuality after spinal cord injury', 'Online doctor', 'POEMS syndrome']",Erectile Dysfunction
69,"['4690137', '36578750', '235393', '692141', '1399190', '1963091', '6949196', '1085916', '26595041', '53335', '23676652', '11853441', '1589741', '3174918', '257215', '22085', '16087875', '4747841', '316759', '754641', '57880', '11342034', '179242', '30593650', '3042204', '29430760', '21239538', '337453', '8784037']",,"['Infertility', 'Male infertility', 'Female infertility', 'Infertility in polycystic ovary syndrome', 'Childlessness', 'Age and female fertility', 'Azoospermia', 'Assisted reproductive technology', 'Fallopian tube obstruction', 'Fertility', 'Fertility awareness', 'Hydrosalpinx', 'Mild androgen insensitivity syndrome', 'Endometriosis', 'Uterus transplantation', 'Ejaculatory duct obstruction', 'Fallopian tube', 'Anovulation', 'Advanced maternal age', 'Clomifene', 'Hyperprolactinaemia', 'Amenorrhea', 'Hypogonadism', 'Pontifical Academy for Life', 'Fertiloscope', 'False pregnancy', 'In vitro fertilisation', 'In vitro maturation', 'Retrograde ejaculation']",Infertility
70,"['447738', '18480', '18403271', '647286', '2554777', '208860', '1441422', '32055']",,"['Urology', 'Ratnapura', 'Air embolism', 'Laparoscopic surgery', 'Prenatal diagnosis', 'Spina bifida', 'Nursing', 'Surgical technologist']",OBGYN
71,"['13523216', '2496233', '158934', '38330385', '505326', '10638474', '9384153', '43097', '43094', '4611451', '37652243', '2061136', '5488304', '1739041', '17654507', '26652964', '348729', '632613', '13070', '50930031', '191892', '264189', '72132', '7980471', '1410817', '2159778', '11222782', '42327', '35597003', '1065584', '35296159', '27165', '38304', '236331', '27546', '29252', '32816428', '1765090']",,"['Sex education', 'Relationship counseling', 'Sex education curriculum', 'Counseling psychology', 'Sex therapy', 'The Sex Party', 'Sex trafficking in Europe', 'Center for Healthy Sex', 'Female education', 'Sexual surrogate', 'Disorders of sex development', 'Reproductive health', 'Sexual abstinence', 'Scientology and sex', 'Montrose Center', 'Index of education articles', 'Sexual intercourse', 'Prison sexuality', 'Homosexuality', 'Catholic Church sexual abuse cases', 'Intersex', 'HIV and men who have sex with men', 'Gender variance', 'History of education', 'COYOTE', 'Gender dysphoria', 'Sexual harassment', 'Sexism', 'Psychologist', 'Juvenile delinquency', 'APLA Health', 'Sexual orientation', 'Kamathipura', 'Gender role', 'Pansexuality', 'Rape', 'Initiatives to prevent sexual violence', 'LGBT social movements']",Sex Education and Counseling
72,"['70705', '4545', '145554', '29728037', '30977727', '18721790', '13105196', '1903987', '14783', '661661', '1988622', '102306', '67918', '14337', '702635', '15179951', '17654507', '22546', '188320', '2159778', '146573', '38304', '35334391', '211430', '8894581', '6603869', '6778877', '35536844', '320713', '27546', '44722116', '200977', '21304415', '44491326', '26789', '39292665', '39309111', '36169718', '46895003', '4818168', '292094', '28485759', '1045845', '24145110', '6884', '10405017', '22669899', '83383', '10638474', '11053864', '784032', '9534', '37880271', '646125', '47049812', '327636', '4753845', '1069504', '11415141', '425158', '5605670', '37689148', '22036467', '1749496', '574981', '3600412', '238129', '149373', '206365', '28845', '231673', '26383679', '2957039', '82385', '113534', '54182604', '5334192', '1986205', '6126579', '18810698', '18589546', '19526001', '29289333', '1053447', '77182', '517391']",,"['Sex toy', 'Sexual arousal', 'Human sexual activity', 'Sexual attraction', 'Sexual selection', 'Genital modification and mutilation', 'Female sexual arousal disorder', 'Sexual reproduction', 'Sexual intercourse', 'Sexual fantasy', 'Sexual objectification', 'Child sexual abuse', 'Sexual sadism disorder', 'Sexual cannibalism', 'Human sexual response cycle', 'Sexual abstinence', 'Erectile dysfunction', 'Sexual conflict', 'Reproductive health', 'Sexualization', 'Campus sexual assault', 'Body odour and sexual attraction', 'Sexual selection in scaled reptiles', 'Commercial sexual exploitation of children', 'Cleavage enhancement', 'Sexual desire and intimate relationships', 'Human sexuality', 'Sexual selection in birds', 'Sexual capital', 'Aphrodisiac', 'Sexual masochism disorder', 'Penis enlargement', 'Body modification', 'Sexuality after spinal cord injury', 'Evolution of sexual reproduction', 'Sexual swelling', 'Orgasm', 'Foreplay', 'Initiatives to prevent sexual violence', 'BDSM', 'Cybersex', 'Sexual mimicry', 'Safe sex', 'Anorgasmia', 'Sex reassignment surgery', 'Seduction', 'Microbicides for sexually transmitted diseases', 'UN Action Against Sexual Violence in Conflict', 'Female promiscuity', 'Heterosis', 'Sex tourism', 'Sex offender', 'Infidelity', 'Neuroscience of sex differences', 'Euphemism', 'Enhanced interrogation techniques', 'Sexual differences in Jainism', 'Transgender sexuality', 'Masturbation', 'Obscenity', 'Socialism and LGBT rights', 'Queer studies', 'Selective serotonin reuptake inhibitor', 'Narcissism', 'Hormonal breast enhancement', 'Balloon fetish', 'Sadomasochism', 'Political lesbianism', 'Disorders of sex development', 'Clitoral erection', 'Prostate massage', 'Cunnilingus', 'Personal lubricant', 'Breast fetishism', 'Clothing fetish', 'Clitoris', 'Parental investment', 'Enzyte', 'Lordosis behavior', 'Issues in social nudity', 'Foreskin', 'Cuckold', 'Sex reassignment therapy', 'Abstinence', 'Physical attractiveness', 'Prejudice']",Sexual Enhancement
73,"['25078285', '4581', '2268863', '47362298', '411021', '5374', '8072', '32129789', '5069414', '1599810', '591031', '40610584', '425158', '411682', '20219', '47037717', '52688805', '6122921', '24579', '60094', '33778328', '2159778', '54450787', '35597003', '38304', '3062837', '2815180', '19019270', '88869', '889672', '18561675', '8249430']",,"['Sexually transmitted infection', 'Microbicides for sexually transmitted diseases', 'Pelvic inflammatory disease', 'Sexual health clinic', 'Mycoplasma hominis infection', 'Reproductive health', 'Epidemiology of syphilis', 'Zoophilia and health', 'Genital herpes', 'Bacterial vaginosis', 'Vaginal disease', 'Mycoplasma genitalium', 'Sex education curriculum', 'Rectal microbicide', 'Open marriage acceptance', 'Sexual ethics', 'Tropical disease', 'Anilingus', 'Trichomoniasis', 'Chlamydia research', 'No promo homo laws', 'Sexual abstinence', 'Meningeal syphilis', 'SESH', 'Men who have sex with men', 'Disease', 'History of human sexuality', 'Canine transmissible venereal tumor', 'Molluscum contagiosum', 'Chlamydia trachomatis', 'Condom', 'Promiscuity']",Sexually Transmitted Diseases
74,"['424739', '2955547', '18721790', '18934647', '427922', '986871', '33776988', '12391913', '526616', '4682452', '1487987', '9228775', '14060197', '8879', '80402', '311822', '102959', '14868355', '1778796', '26477290', '8684798']",,"['Substance abuse', 'Substance abuse prevention', 'Substance use disorder', 'Substance Abuse and Mental Health Services Administration', 'Drug rehabilitation', 'Substance dependence', 'Abuse', 'Child abuse', 'Elder abuse', 'Dual diagnosis', 'Convention on Psychotropic Substances', 'National Institute on Drug Abuse', 'Motivational therapy', 'Child sexual abuse', 'Politics of drug abuse', 'Satanic ritual abuse', 'Drug test', 'Drug use in music', 'Prolonged exposure therapy', 'Toxic leukoencephalopathy', 'Recreational use of dextromethorphan']",Substance Abuse
75,"['1181942', '25220261', '35574244', '703651', '6320556', '185896', '532597', '472608', '1012823', '6044476', '243387', '9311172', '26302354', '313009', '12686484', '2751670', '427922', '986871', '24810144', '261899', '1248929', '692304', '3187173', '463501', '218449', '560876', '24354', '53309', '45621', '7605695', '1251434', '25949', '40513485', '21755880', '66391', '51805386', '102959', '1778796', '26477290', '239812', '13594085']",,"['Drug test', 'Cannabis drug testing', 'Date rape drug', 'Drug rehabilitation', 'Recreational drug use', 'Drug', 'Drug overdose', 'Responsible drug use', 'Substance abuse', 'Fetal alcohol spectrum disorder', 'Substance dependence', 'Drug facilitated sexual assault', 'Arguments for and against drug prohibition', 'Illegal drug trade', 'Club drug', 'Drug policy', 'Drug policy reform', 'Recreational drug tourism', 'Designer drug', 'Depressant', 'CRAFFT Screening Test', 'Entheogen', 'Drunk driving law by country', 'Subjective response to alcohol', 'Disulfiram', 'Hepatotoxicity', 'Purple drank', 'Substance use disorder', 'Carisoprodol', 'Psychopharmacology', 'Psychedelic drug', 'Disease theory of alcoholism', 'Temazepam', 'Hair analysis', 'Stimulant', 'Pharmaceutical industry', 'Pharmacology', 'Chlordiazepoxide', 'Spins', 'Health effects of wine', 'Ethylphenidate']",Drug and Alcohol Testing
76,"['3560079', '27158894', '2869', '1181942', '4845', '27202445', '185896', '41700062', '472608', '234806', '6044476', '9311172', '6439580', '6447865', '12686484', '427922', '662395', '25475760', '1591223', '21605714', '12391913', '1248929', '137986', '218449', '4615904', '52795734', '22034247', '1553275', '8529764', '1251434', '25949', '11941349', '40513485', '299971', '51805386', '311822', '102959', '1778796', '2348583', '1181646', '2197412', '867542', '2012894']",,"['Drug rehabilitation', 'Substance dependence', 'Substance abuse', 'Recreational drug use', 'Fetal alcohol spectrum disorder', 'Drug', 'Drug policy', 'Arguments for and against drug prohibition', 'Drugs in pregnancy', 'Blood alcohol content', 'Addiction', 'War on Drugs', 'Recreational drug tourism', 'Depressant', 'Club drug', 'Illegal drug trade', 'Managed alcohol program', 'Responsible drug use', 'Drug Interventions Programme', 'Anxiolytic', 'Drug injection', 'Drug user', 'Drugs and prostitution', 'Treatment of human head lice', 'Physical dependence', 'Influenza treatment', 'Sedative', 'Drug tolerance', 'Harm reduction', 'Disease theory of alcoholism', 'Acamprosate', 'Substance Abuse and Mental Health Services Administration', 'Nasal administration', 'Community reinforcement approach and family training', 'Residential treatment center', 'Subjective response to alcohol', 'Prometa', 'Dual diagnosis', 'Diazepam', 'Cannabis use disorder', 'Topical medication', 'Zaleplon', 'Clobazam']",Drug and Alcohol Treatment
77,"['18589546', '2862940', '4741593', '378579', '1040488', '30206738', '38327', '4576717', '2448498', '11996885', '25018966', '43339210', '39409985', '10541731', '18450', '6818170', '1946161', '38272', '1668563', '13937378', '712576', '25505185', '7948816', '12254052', '11931879', '25522821', '289607', '2199688', '22145250', '9880032', '1233983', '21276853', '1906107', '318672', '1182816', '27040229']",,"['Smoking cessation', 'Smoking', 'Schizophrenia and smoking', 'Action on Smoking and Health', 'Youth smoking', 'Passive smoking', 'Smoking age', 'Chain smoking', 'Tobacco control', 'Smoking bans in private vehicles', 'Tobacco harm reduction', 'Electronic cigarette', 'World No Tobacco Day', 'NicVAX', 'Tobacco packaging warning messages', 'Tobacco advertising', 'Cigarette', 'Bupropion', 'Nicorette', 'Lung cancer', 'Whakapapa', 'Cigarette filter', 'Transtheoretical model', 'Hydroxybupropion', 'Chronic obstructive pulmonary disease', 'Nicotine gum', 'Sidestream smoke', 'Attentional bias', 'Tobacco politics', 'Nicotine', 'Epsychology', 'Kind Consumer', 'Dipping tobacco', 'Obstructive lung disease', 'Abstinence', 'Lobeline']",Smoking and Smoking Cessation
78,"['14259636', '2383985', '3475016', '4172697', '16423802', '860860', '9311172', '20922487', '2399964', '530691', '22411733', '32592400', '2404301', '33632441', '141922']",,"['Doping in sport', 'Ergogenic use of anabolic steroids', 'Steroid', 'Doping in association football', 'Growth hormone in sports', 'BALCO scandal', 'Doping at the Olympic Games', 'Neuroactive steroid', 'Drug', 'Glucocorticoid', 'Psychoactive drug', 'Clenbuterol', 'Bodybuilding supplement', 'Female bodybuilding', 'Meldonium']",Steroids and Performance-Enhancing Drugs
79,"['6302786', '447382', '192280', '2321080', '7397', '36152709', '56533', '48538478', '3488668', '1099280', '436825', '8695082', '21464996', '1347586', '31454062', '181887', '430716', '181226', '305122', '3237726', '314437', '16653205', '1845551', '41121734', '2010280', '648954', '2158298']",,"['Eye care professional', 'Night vision', 'Vision rehabilitation', 'Binocular vision', 'Vision therapy', 'Peripheral vision', 'Optometry', 'Nursing home care', 'Visual impairment', 'Eye examination', 'Aravind Eye Hospitals', 'Deathbed phenomena', 'UC Berkeley School of Optometry', 'Health policy', 'Visual acuity', 'Hospice', 'Bates method', 'Geriatrics', 'Color blindness', 'LDS Humanitarian Services', 'Essential health benefits', 'Laser blended vision', 'UnitedHealth Group', 'Sankara Nethralaya', 'CNIB', 'Thermography', 'Diabetic retinopathy']",Vision Care
80,"['2971902', '4688195', '85631', '40885596', '1179794', '37402', '33963660', '54749', '38180', '843326', '311888', '74836', '1455589', '1099280', '505463', '74844', '2323824', '132151', '13074782', '417929', '881148', '21934921', '192460', '543329', '22483', '24990312', '181226', '7816918', '1048095', '13082366', '536313', '492052', '44167746', '14539602', '866988', '20691673', '950041', '201460', '581456', '2158298', '59627', '17863093', '3519835', '1862580', '18506907', '248708', '31990']",,"['Glasses', 'Chicken eyeglasses', 'Eyeglass prescription', 'Optician', 'Presbyopia', 'Refractive error', 'Orthokeratology', 'Corrective lens', 'Pellucid marginal degeneration', 'Optometry', 'LASIK', 'Astigmatism', 'Optics and vision', 'Prevention of viral hemorrhagic fever', 'Cataract surgery', 'Cornea', 'Brien Holden Vision Institute', 'Aspheric lens', 'Moscot', 'Stereoscopy', 'Chromatic aberration', 'Organlegging', 'Monel', 'Augmented reality', 'Polycarbonate', 'Clothing', 'Strabismus', 'Stereo display', 'God of Gamblers', 'Comic Party', 'Visual impairment', 'Emergency management', 'Private health services plan', 'Optics', 'Chicken', 'Konica Hexar RF', 'Helmet', 'Motorcycle helmet', 'Screw', 'Eye examination', 'Leica M5', 'Eruv', 'Dirty Pair Flash', 'Ultraviolet', 'Communities In Schools', 'Columbine High School massacre', 'Red Skelton']",Eyeglasses and Contacts
81,"['32485929', '12780557', '41338940', '2118246', '80381', '2459566', '1810614', '490201', '8695082', '6142110', '1465997', '8053575', '990505', '2077506', '463734', '2159778', '15422486', '706186', '570661', '3634424', '33583']",,"['Maternal health', 'Reproductive health', 'Health professional', 'Public health', 'Health equity', 'Abortion and mental health', 'Health', 'Mental health', 'Feminist movement', 'Reproductive rights', 'Health policy', 'CentraCare Health', 'Global health', 'Health insurance', 'Health education', 'Violence against women', 'World Health Organization', 'Health psychology', 'Reproductive justice', 'Universal health care', 'Partners In Health']",Women's Health
