,terms,titles,pageids
1662,bursa,"['Iliopectineal bursa', 'Bicipitoradial bursa', 'Subacromial bursa', 'Knee bursae', 'Ornithonyssus bursa', 'Bursitis', 'Greater trochanteric pain syndrome', 'Shoulder joint', 'Infectious bursal disease']","['37392209', '712326', '7976648', '37400498', '2201837', '9076717', '27105099', '2974848', '14520559']"
1663,istanbul,"['Istanbul', 'Istanbul University', 'Istanbul Province', 'Governor of İstanbul', 'İstanbul Modern', 'Istanbul Metro', 'Istanbul Football League', 'Istanbul Atatürk Airport', 'Armenians in Istanbul', 'Istanbul (Not Constantinople)', 'Names of Istanbul', 'Istanbul High School', 'İstanbul Başakşehir F.K.', 'Istanbul suburban', 'Istanbul pogrom', 'İstanbul Archaeology Museums', 'Intercity Istanbul Park', '2017 Istanbul nightclub shooting', 'Istanbul Sapphire', 'M1 (Istanbul Metro)', 'Borsa Istanbul', 'Istanbul Tales', 'Istanbul Commerce University', 'International Istanbul Film Festival', 'Istanbul Biennial', 'Istanbul Marathon', 'Istanbul Tram', 'İstanbul Büyükşehir Belediyesi S.K.', '2008 Istanbul bombings', 'Istanbul Bilgi University']","['18608099', '52741785', '34413093', '3022849', '47142895', '1345932', '824833', '3391396', '1020775', '160515', '4421796', '2761444', '20892320', '6438103', '7698941', '939645', '6436318', '498827', '8566999', '17212236', '25387641', '699393', '2578326', '28259010', '15793637', '5434729', '4784641', '7442979', '26026647', '34139110']"
1664,mediterranean turkey,"['Mediterranean Region, Turkey', 'Mediterranean Basin', 'Mediterranean cuisine', '2013 Mediterranean Games', 'Mediterranean Sea', 'Malta–Turkey relations', 'Union for the Mediterranean', 'Mediterranean Games', 'Erzin, Turkey', 'Mediterranean house gecko', 'Turkey', '2018 Mediterranean Games', 'Dragon Creek (Turkey)', 'European Union–Turkey Customs Union', 'Turkey national basketball team', 'Poland–Turkey relations', 'Mediterranean race', 'Geography of Turkey', 'Football at the 2013 Mediterranean Games', 'Wildlife of Turkey', 'Spain–Turkey relations', 'History of the Mediterranean region', 'Boğsak Islet', 'Climate of Turkey', 'Cyprus–Turkey maritime zones dispute', 'Eastern Mediterranean', 'Geographical regions of Turkey', 'Turkey at the 2013 Mediterranean Games', 'List of cities in Turkey', 'Flora of Turkey']","['38260561', '31940829', '42967909', '31959982', '32935345', '51847702', '20316339', '1948577', '1378145', '24646202', '39232880', '7609943', '30199', '13584', '214476', '20329073', '2454408', '1045605', '8318424', '19006', '1342098', '3666151', '1631669', '19021778', '19010640', '11125639', '38564104', '3147234', '21463988', '31478892']"
1665,adana,"['Adana', 'Adana Province', 'Adana kebabı', 'Adana massacre', 'Adana İdmanyurduspor', 'Taşköprü (Adana)', 'Adana railway station', 'Adana Şakirpaşa Airport', 'Adana Vilayet', 'Adana Metro', 'Adana Archaeology Museum', 'Adana–Mersin railway', '1998 Adana–Ceyhan earthquake', 'Adana ASKİ SK', 'Adana Dârüleytâm', 'Çukurova, Adana', 'Adana Eyalet', 'Adana Toros BYZ', 'Atatürk Museum (Adana)', 'Adana Yeşiloba Hippodrome', 'International Adana Film Festival', 'Adana-Mersin metropolitan area', 'Rhyacionia adana', 'Governor of Adana', 'Bozgüney, Adana', 'Adana (raga)', 'Adana Conference', 'Adana Football League', 'Adana Demirspor', 'Great Mosque (Adana)']","['17716689', '185243', '24167127', '15505806', '46487622', '27626597', '31357405', '3103037', '49051048', '30674696', '33171066', '27378681', '185246', '48978704', '42940361', '34055720', '3089403', '1611176', '27685492', '42815519', '7944264', '23912391', '27652014', '27698534', '47122323', '21550318', '17715383', '29164435', '3080909', '28072015']"
1666,antalya,"['Antalya', 'International Antalya Film Festival', 'Antalya Province', 'Antalya Airport', 'Antalya Büyükşehir Belediyesi', 'Antalya Museum', '1207 Antalya Spor', 'Trams in Antalya', '45th Antalya Golden Orange Film Festival', ""Atatürk's House Museum (Antalya)"", '44th Antalya Golden Orange Film Festival', 'Governor of Antalya', '47th International Antalya Golden Orange Film Festival', '46th International Antalya Golden Orange Film Festival', 'Aksu, Antalya', 'Kepez, Antalya', 'Antalya Conference for Change in Syria', 'Antalya Marathon', '2015 G20 Antalya summit', '1st Antalya Golden Orange Film Festival', 'List of populated places in Antalya Province', '17th Antalya Golden Orange Film Festival', 'Düden Waterfalls', '2017 Antalya Open', '3rd Antalya Golden Orange Film Festival', 'Antalya Centennial Archery Field', '16th Antalya Golden Orange Film Festival', 'Antalya (electoral district)', 'Kumluca', '2nd Antalya Golden Orange Film Festival']","['46764540', '32563090', '17242246', '33483873', '33889145', '54265171', '33484536', '33501796', '13970887', '20114987', '24667324', '28205873', '34265758', '361527', '45009087', '3520009', '13291626', '37475325', '48715269', '41177660', '10650088', '1364197', '31713475', '10855472', '47125844', '4621124', '31001757', '4105461', '33184302', '50985140']"
1667,mersin,"['Mersin', 'Yenişehir, Mersin', 'Mersin İdmanyurdu', 'Mersin Atatürk Museum', 'Mersin Province', 'Akdeniz, Mersin', 'Mersin Interfaith Cemetery', '1986–87 Mersin İdmanyurdu season', 'Atatürk Monument (Mersin)', '1987–88 Mersin İdmanyurdu season', 'Mersin railway station', '1983–84 Mersin İdmanyurdu season', '1979–80 Mersin İdmanyurdu season', '1981–82 Mersin İdmanyurdu season', '1975–76 Mersin İdmanyurdu season', '1984–85 Mersin İdmanyurdu season', '1989–90 Mersin İdmanyurdu season', '1976–77 Mersin İdmanyurdu season', '1978–79 Mersin İdmanyurdu season', '1974–75 Mersin İdmanyurdu season', '1985–86 Mersin İdmanyurdu season', '1971–72 Mersin İdmanyurdu season', '1990–91 Mersin İdmanyurdu season', '1997–98 Mersin İdmanyurdu season', '1977–78 Mersin İdmanyurdu season', '1972–73 Mersin İdmanyurdu season', '1988–89 Mersin İdmanyurdu season', '1994–95 Mersin İdmanyurdu season', 'Adana–Mersin railway', '1970–71 Mersin İdmanyurdu season']","['23437558', '23581402', '23581408', '23434800', '23581427', '23434726', '23434642', '23581445', '23581454', '23581459', '23437396', '23581476', '23581484', '23581487', '23581491', '23581493', '23581496', '23437606', '26412270', '26765561', '23912391', '24442807', '43440621', '1146241', '29173513', '41419631', '3710818', '27426022', '33125765', '24339323']"
1668,southeastern anatolia,"['Southeastern Anatolia Region', 'Southeastern Anatolia Project', 'Anatolia', 'Geographical regions of Turkey', 'Batman Dam', 'Birecik Dam', 'Silvan Dam', 'Karakaya Dam', 'Dicle Dam', 'Adıyaman Archaeological Museum', 'Tille Höyük', 'Derik, Turkey', 'Silopi', 'Cizre Dam', 'Garzan Dam', 'First Geography Congress, Turkey', 'Taurus Mountains', 'Kizzuwatna', 'North Mesopotamian Arabic', 'Tuwana', 'Mediterranean Region, Turkey', 'Turkish Kurdistan', 'Bohtan', 'History of Turkey', 'Konya Vilayet', 'Ilısu Dam', 'Garzan oil field', 'Raman', 'Atatürk Dam', 'Suruç Water Tunnel']","['50884495', '854', '2114529', '2737678', '2737679', '9710168', '24611143', '4103667', '2737682', '15203034', '39459148', '30051038', '7609943', '28451535', '2737834', '2737683', '3933288', '3758492', '8318424', '10413843', '3667863', '4116454', '8703587', '2125716', '8318491', '42164522', '596736', '5086747', '4137935', '52539209']"
1669,united arab emirate,"['United Arab Emirates', 'Outline of the United Arab Emirates', 'Politics of the United Arab Emirates', 'List of United Arab Emirates-related topics', 'Bahrain–United Arab Emirates relations', 'Canada–United Arab Emirates relations', 'Telecommunications in the United Arab Emirates', 'France–United Arab Emirates relations', 'Expatriates in the United Arab Emirates', 'Malaysia–United Arab Emirates relations', 'Iraq–United Arab Emirates relations', 'Iran–United Arab Emirates relations', 'Constitution of the United Arab Emirates', 'United Arab Emirates–United States relations', 'Australia–United Arab Emirates relations', 'History of the United Arab Emirates', 'Afghanistan–United Arab Emirates relations', 'India–United Arab Emirates relations', 'Kosovo–United Arab Emirates relations', 'Somalia–United Arab Emirates relations', 'United States Ambassador to the United Arab Emirates', 'Denmark–United Arab Emirates relations', 'Kenya–United Arab Emirates relations', 'United Arab Emirates University', 'United Arab Emirates–United Kingdom relations', 'List of ambassadors of the United Kingdom to the United Arab Emirates', 'Flag of the United Arab Emirates', 'Foreign relations of the United Arab Emirates', 'Demographics of the United Arab Emirates', 'Hatta, United Arab Emirates']","['28045130', '28057590', '28927431', '26691279', '15807771', '31836', '28256567', '30423595', '459353', '31842', '28044942', '11015195', '31834', '28045628', '28045780', '21252291', '28243934', '19789012', '8815531', '4424204', '21322213', '16285820', '31837', '34442956', '31839', '69328', '1658874', '30267888', '15997134', '21307829']"
1670,yemen,"['Yemen', 'South Yemen', 'Emblem of Yemen', 'Flag of Yemen', 'Republic of Yemen Armed Forces', 'President of Yemen', 'Foreign relations of Yemen', 'United States–Yemen relations', 'South Yemen insurgency', 'Houthi takeover in Yemen', 'Yemeni Revolution', 'Demographics of Yemen', 'Russia–Yemen relations', 'Imams of Yemen', 'History of Yemen', 'Israel–Yemen relations', 'Economy of Yemen', 'Women in Yemen', 'Syria–Yemen relations', 'Terrorism in Yemen', 'Media of Yemen', 'Elections in Yemen', 'House of Representatives (Yemen)', 'Yemeni unification', 'Radio in Yemen', 'Geography of Yemen', 'Mutawakkilite Kingdom of Yemen', 'Yemeni Crisis (2011–present)', 'Politics of Yemen', 'Saudi Arabian-led intervention in Yemen']","['34247', '34249', '1444858', '444106', '351550', '34253', '34246', '34245', '4493312', '43970194', '24679405', '28587762', '16603208', '2457603', '34248', '444090', '23726762', '34252', '35962485', '46230181', '718749', '25221071', '33247605', '42442', '15961829', '27704632', '350939', '45326059', '30656841', '5832149']"
1671,europe,"['Continental Europe', 'Ethnic groups in Europe', 'History of Europe', 'Demographics of Europe', 'Symbols of Europe', 'Prehistoric Europe', 'Geography of Europe', 'Culture of Europe', 'Economy of Europe', 'FIBA Europe', 'Neolithic Europe', 'Parliamentary Assembly of the Council of Europe', 'Flags of Europe', 'Paleolithic Europe', 'Geographical midpoint of Europe', 'Europe of Freedom and Direct Democracy', 'LGBT rights in Europe', 'Politics of Europe', 'Transport in Europe', 'Healthcare in Europe', 'Viacom International Media Networks Europe', 'International organisations in Europe', 'Association of Surfing Professionals Europe', 'Stop Islamisation of Europe', 'Extreme points of Europe', 'Treaty establishing a Constitution for Europe', 'European Economic Community', 'Human rights in Europe', 'Climate of Europe', 'Conservative Europe Group']","['37964227', '25728235', '5352962', '5867', '1256013', '1558354', '1069072', '13279542', '43150970', '9578', '863532', '3794926', '4505203', '1214505', '1187515', '15973120', '13212', '1413039', '1500287', '8176791', '464879', '14836585', '2760852', '1286372', '1689486', '24318837', '300632', '205583', '234500', '2512069']"
1672,central and eastern europe,"['Central and Eastern Europe', 'Eastern Europe', 'Nickelodeon (Central & Eastern Europe)', 'Cartoon Network (Central and Eastern Europe)', 'Boomerang (Central and Eastern Europe)', 'East-Central Europe', 'Galicia (Eastern Europe)', 'Central Europe', 'Renaissance architecture in Central and Eastern Europe', 'Central and Eastern European Schools Association', 'History of German settlement in Central and Eastern Europe', 'Eastern European cuisine', 'Regional Environmental Center for Central and Eastern Europe', 'Central and Eastern European Online Library', 'HMC Projects in Central and Eastern Europe', 'Eastern Bloc', 'Southeast Europe', 'Central and Eastern Europe Development Institute', 'Anti-Jewish violence in Central and Eastern Europe, 1944–46', 'Eastern European Time', 'Central European Media Enterprises', 'Europe, the Middle East and Africa', 'Human trafficking in Central Europe', 'Centre for Eastern Studies', 'Western Europe', 'Northern Europe', 'Turner Broadcasting System Europe', 'Eastern European anti-Communist insurgencies', 'Central European Initiative', 'UCL School of Slavonic and East European Studies']","['19786940', '24815867', '31347011', '5188', '987677', '4168775', '3440567', '28959088', '22860304', '7122566', '24825262', '16800883', '97477', '37403', '915761', '31574850', '881439', '628999', '402344', '38411245', '9785181', '13239846', '26321669', '159865', '11838909', '8382470', '888364', '7725041', '1131835', '33800']"
1673,austria,"['Austria', 'Archduchy of Austria', 'States of Austria', 'Austrians', 'Chancellor of Austria', 'History of Austria', 'List of rulers of Austria', 'History of the Jews in Austria', 'Outline of Austria', 'Demographics of Austria', 'Foreign relations of Austria', 'Austria–Russia relations', 'FK Austria Wien', 'Telecommunications in Austria', 'Austria–Canada relations', 'Austria-Hungary', 'Allied-occupied Austria', 'Politics of Austria', 'Emperor of Austria', 'Austria–Germany relations', 'President of Austria', 'Flag of Austria', 'Upper Austria', 'District (Austria)', 'Geography of Austria', 'Austria–Croatia relations', 'Austria–Denmark relations', 'Economy of Austria', 'Austria–Turkey relations', 'A1 Telekom Austria']","['5603482', '11137012', '6490870', '26964606', '2983', '187221', '24415912', '20793909', '27530345', '15997328', '16075585', '18992782', '60582', '67634', '2348032', '67545', '495262', '895568', '142708', '23661208', '67542', '39477', '2666510', '808980', '16278424', '67635', '218464', '214486', '68913', '146894']"
1674,vienna,"['Vienna', 'Vienna Circle', 'Battle of Vienna', 'Vienna, Virginia', 'Congress of Vienna', 'First Vienna FC', 'Vienna Philharmonic', 'Vienna Secession', 'University of Vienna', 'United Nations Office at Vienna', 'Vienna State Opera', 'Rathaus, Vienna', ""Vienna Boys' Choir"", 'Vienna Offensive', 'Vienna U-Bahn', 'History of Vienna', 'Siege of Vienna', 'Medical University of Vienna', 'Vienna sausage', 'Vienna station (Washington Metro)', 'Vienna Convention on the Law of Treaties', 'Vienna Beltway', 'Pestsäule, Vienna', 'Goodnight, Vienna', 'Trams in Vienna', 'Vienna, Illinois', ""St. Stephen's Cathedral, Vienna"", 'Konzerthaus, Vienna', 'Embassy of the United States, Vienna', 'Vienna, Georgia']","['84274', '44628', '21045974', '1403890', '23149241', '1403641', '1962395', '2621065', '4888365', '5474869', '386667', '214393', '31149788', '8459430', '53049', '55866', '110061', '111365', '137594', '1704342', '2123652', '225873', '319804', '9502602', '148401', '1398982', '379066', '1167316', '2087727', '571125']"
1675,baltic,"['Baltic region', 'State continuity of the Baltic states', 'Baltic amber', 'Baltic Exchange', 'Baltic Sea anomaly', 'Baltic Institute', 'Council of the Baltic Sea States', 'Ports of the Baltic Sea', 'Baltic Compass', 'Baltic Slavic piracy', 'Euroregion Baltic', 'Finnic languages', 'Baltic Development Forum', 'Baltic Military District', 'Kersten Committee']","['28685569', '26078545', '1191151', '886388', '7330553', '36235619', '7893528', '14286920', '338077', '42539', '26525848', '2218869', '13955595', '497035', '12387236']"
1676,estonia,"['Estonia', 'History of Estonia', 'Foreign relations of Estonia', 'Estonia–United States relations', 'Demographics of Estonia', 'President of Estonia', 'Estonia–Russia relations', 'Politics of Estonia', 'Denmark–Estonia relations', 'Estonians', 'Counties of Estonia', 'MS Estonia', 'Russians in Estonia', 'Estonia in World War II', 'Flag of Estonia', 'Culture of Estonia', 'Estonia–India relations', 'Cinema of Estonia', 'Congress of Estonia', 'Azerbaijan–Estonia relations', 'Australia–Estonia relations', 'Outline of Estonia', 'Constitution of Estonia', 'Music of Estonia', 'History of the Jews in Estonia', 'Football in Estonia', 'Human rights in Estonia', 'List of cities and towns in Estonia', 'Estonia Theatre', 'Bank of Estonia']","['20002750', '20557676', '1904881', '6860623', '11216584', '6228411', '276323', '12454919', '9389', '19986851', '28222445', '11691277', '12066079', '347511', '20769332', '11113765', '15982909', '140808', '10327766', '9395', '42787', '4471335', '23107381', '23976875', '522384', '372892', '16278657', '9390', '1581712', '3044195']"
1677,latvia,"['Latvia', 'Latvia–Russia relations', 'Russians in Latvia', 'History of Latvia', 'Latvia–United States relations', 'Flag of Latvia', 'Demographics of Latvia', 'Foreign relations of Latvia', 'Politics of Latvia', 'History of the Jews in Latvia', 'Canada–Latvia relations', 'Outline of Latvia', 'Religion in Latvia', 'Administrative divisions of Latvia', 'Prime Minister of Latvia', 'Economy of Latvia', 'Cinema of Latvia', 'University of Latvia', 'Soviet occupation of Latvia in 1940', 'President of Latvia', 'Music of Latvia', 'Cultural regions of Latvia', 'Geography of Latvia', 'The Case for Latvia', 'Greece–Latvia relations', 'Communist Party of Latvia', 'Telecommunications in Latvia', 'Latvians', 'Constitution of Latvia', 'Latvia national basketball team']","['22662265', '21734796', '11919684', '7913880', '8635290', '1313846', '17764', '17766', '459167', '17770', '17763', '18756078', '17762', '4471776', '17514', '2753326', '344957', '18230622', '15989216', '372893', '16278938', '17765', '15929268', '481129', '23064846', '3044289', '13259477', '17767', '22918608', '586818']"
1678,lithuania,"['Lithuania', 'List of rulers of Lithuania', 'Lithuania proper', 'History of Lithuania', 'Grand Duchy of Lithuania', 'Lithuanians', 'Christianization of Lithuania', 'Lithuania–Russia relations', 'The Holocaust in Lithuania', 'Foreign relations of Lithuania', 'Regions of Lithuania', 'Lithuania Minor', 'Demographics of Lithuania', 'Religion in Lithuania', 'Culture of Lithuania', 'Economy of Lithuania', 'Poles in Lithuania', 'Lithuania–United States relations', 'Elderships of Lithuania', 'Counties of Lithuania', 'Lithuania–United Kingdom relations', 'Flag of Lithuania', 'Communist Party of Lithuania', 'Geography of Lithuania', 'Republic of Central Lithuania', 'Politics of Lithuania', 'Administrative divisions of Lithuania', 'Prime Minister of Lithuania', 'Outline of Lithuania', 'History of the Jews in Lithuania']","['1784514', '38238985', '4166245', '493118', '18292454', '17822', '19283139', '1222459', '459177', '17828', '17821', '380252', '17820', '3083965', '670646', '17675', '799831', '5413530', '459375', '20043895', '20053019', '15990560', '16278984', '9014232', '17823', '465599', '750002', '12101107', '358352', '16276039']"
1679,czech republic,"['Czech Republic', 'Government of the Czech Republic', 'Economy of the Czech Republic', 'Demographics of the Czech Republic', 'Army of the Czech Republic', 'Transport in the Czech Republic', 'Parliament of the Czech Republic', 'Politics of the Czech Republic', 'Senate of the Czech Republic', 'Elections in the Czech Republic', 'Law of the Czech Republic', 'Healthcare in the Czech Republic', 'Women in the Czech Republic', 'Chamber of Deputies of the Czech Republic', 'Registered partnership in the Czech Republic', 'Czech Republic national rugby union team', 'President of the Czech Republic', 'Protected areas of the Czech Republic', 'Police of the Czech Republic', 'Energy in the Czech Republic', 'Abortion in the Czech Republic', 'History of the Czech lands', 'Sport in the Czech Republic', 'Catholic Church in the Czech Republic', 'National symbols of the Czech Republic', 'Czech Republic football league system', 'Theatre of the Czech Republic', 'Judiciary of the Czech Republic', 'Czech wine', 'Cinema of the Czech Republic']","['2866297', '5853', '4435925', '3991120', '336796', '5321', '21591668', '4922809', '5119502', '74003', '5849', '1435429', '32377399', '14380629', '39157162', '53938', '16076019', '37709760', '43521305', '3991200', '18748581', '5848', '410288', '9311312', '1601103', '3991292', '14781056', '22764809', '5851', '39698543']"
1680,prague,"['Prague Castle', 'Trams in Prague', 'History of Prague', 'Prague school', 'Prague astronomical clock', 'National Gallery in Prague', 'Prague 1', 'Prague Spring International Music Festival', 'Jewish Museum in Prague', 'Czech Technical University in Prague', 'Amusement park at Prague Fairground', 'Golem', 'Prague 3', 'Prague 6', 'Prague 2', 'Prague 5']","['26671060', '25323835', '11888', '3744122', '22051689', '2574936', '2209466', '2209628', '2254829', '7942769', '15085623', '672020', '1031111', '684873', '1003832', '6114490']"
1681,eastern europe,"['Eastern Europe', 'Central and Eastern Europe', 'Southeast Europe', 'Eastern European Time', 'Galicia (Eastern Europe)', 'Animax Eastern Europe', 'The YIVO Encyclopedia of Jews in Eastern Europe', 'Ordinariate for Catholics of Armenian Rite in Eastern Europe', 'Nickelodeon (Central & Eastern Europe)', 'Eastern European cuisine', 'Eastern Bloc', 'History of German settlement in Central and Eastern Europe', 'Western Europe', 'Cartoon Network (Central and Eastern Europe)', 'Boomerang (Central and Eastern Europe)', 'Cooperation and Development Network Eastern Europe', 'Linux Vacation / Eastern Europe', 'Ordinariate for Eastern Catholic faithful', 'Vatican and Eastern Europe (1846–1958)', 'Sex trafficking in Europe', 'Eastern Partnership', 'Street children in Eastern Europe', 'Archdeacons in the Diocese in Europe', 'Central Europe', 'East European Plain', 'Northern Europe', 'Europe', 'East-Central Europe', 'UCL School of Slavonic and East European Studies', 'Renaissance architecture in Central and Eastern Europe']","['7107238', '42474266', '24815867', '31347011', '5188', '3440567', '8090922', '16800883', '1073869', '97477', '37403', '915761', '881439', '17578576', '9239', '402344', '9785181', '22738416', '26321669', '159865', '49296576', '34504619', '8382470', '35296159', '888364', '35967554', '18007037', '1131835', '16676481', '33800']"
1682,belarus,"['Belarus', 'Foreign relations of Belarus', 'Telecommunications in Belarus', 'President of Belarus', 'Belarus–Russia relations', 'Regions of Belarus', 'History of Belarus', 'Belarus–United States relations', 'Women in Belarus', 'Armed Forces of Belarus', 'Belarus–Iran relations', 'Azerbaijan–Belarus relations', 'Demographics of Belarus', 'Music of Belarus', 'Belarus at the Olympics', 'Geography of Belarus', 'Capital punishment in Belarus', 'Politics of Belarus', 'Censorship in Belarus', 'Bangladesh–Belarus relations', 'Elections in Belarus', 'House of Representatives of Belarus', 'Radio Belarus', 'Human rights in Belarus', 'Belarus–Denmark relations', 'Religion in Belarus', 'LGBT rights in Belarus', 'National emblem of Belarus', 'Constitution of Belarus', 'Catholic Church in Belarus']","['3537', '20579166', '41540641', '3457', '1927547', '19985277', '21704517', '14288231', '2651710', '2614570', '4249957', '10980740', '2411958', '68945', '1355972', '3538', '18933243', '42761', '3941312', '21401671', '1795498', '561208', '457096', '68948', '2631957', '6736798', '494836', '14123744', '3535', '39651650']"
1683,moldova,"['Moldova', 'President of Moldova', 'Outline of Moldova', 'Elections in Moldova', 'Moldovans', 'Unification of Romania and Moldova', 'Islam in Moldova', 'Moldova–United States relations', 'Moldova–Romania relations', 'Cabinet of Moldova', 'Demographics of Moldova', 'Germany–Moldova relations', 'Music of Moldova', 'Our Moldova Alliance', 'Moldova–European Union relations', 'Politics of Moldova', 'Foreign relations of Moldova', 'Parliament of the Republic of Moldova', 'Religion in Moldova', 'History of Moldova', 'Austria–Moldova relations', 'Moldovan wine', 'Democratic Party of Moldova', 'Moldova–Spain relations', 'TeleRadio-Moldova', 'Administrative divisions of Moldova', 'Moldova–Russia relations', 'Flag of Moldova', 'Economy of Moldova', 'Independence of Moldova']","['689865', '19985047', '16724916', '1910430', '19243', '19245', '1387226', '272061', '19249', '17922053', '19241', '24099854', '7785930', '19260', '2866516', '2232012', '3577558', '12769579', '14356141', '17922506', '15993377', '456582', '861954', '16279085', '2818427', '19244', '1118398', '3583550', '7652411', '3205063']"
1684,ukraine,"['Ukraine', 'Ukrainians', 'History of Ukraine', 'Politics of Ukraine', 'Name of Ukraine', 'Ukraine–European Union relations', 'Strong Ukraine', 'Reichskommissariat Ukraine', 'Economy of Ukraine', 'Armed Forces of Ukraine', 'Constitution of Ukraine', 'Flag of Ukraine', 'Ukraine–United Kingdom relations', 'Ukraine–NATO relations', 'Western Ukraine', 'Russia–Ukraine relations', 'Geography of Ukraine', 'Demographics of Ukraine', 'Russian language in Ukraine', 'List of cities in Ukraine', 'President of Ukraine', 'Government of Ukraine', 'Ukraine national football team', 'Elections in Ukraine', 'Administrative divisions of Ukraine', 'Islam in Ukraine', 'Judiciary of Ukraine', 'Ministry of Defence (Ukraine)', 'Ministry of Internal Affairs (Ukraine)', 'Ukrainian crisis']","['958226', '42799055', '1329576', '31827', '31829', '1209906', '459350', '31826', '1372585', '84795', '2420275', '1238343', '4077166', '14284651', '1400321', '3546282', '31828', '20688479', '3171814', '10516775', '17446303', '2016388', '31750', '1008682', '5612265', '18169806', '16557821', '44146526', '145144', '3258511']"
1685,crimea,"['Religion in Crimea', 'Building of the Supreme Council of Crimea', 'Krymchaks', 'Isthmus of Perekop', 'Winemaking in Crimea', 'Crimean Astrophysical Observatory', 'Crimean Campaign', 'Kerch Strait Bridge', 'Crimean Goths', 'Strilkove']","['42060752', '3350749', '2391826', '1777797', '1002711', '22563317', '1563368', '42323834', '42213921', '46203423']"
1686,kiev,"['Kiev', 'Kiev (brand)', 'Kiev Pechersk Lavra', 'Mayor of Kiev', 'Kiev Governorate', 'Anthony of Kiev', 'Kiev Governorate (1708–64)', 'Kiev City Council', 'Kiev Reservoir', 'List of Metropolitans and Patriarchs of Kiev', 'Subdivisions of Kiev', 'Trams in Kiev', 'Bridges in Kiev', 'Kiev-class aircraft carrier', 'Kiev local election, 2014', 'Golden Gate, Kiev', 'Kiev Voivodeship', 'Kiev Oblast', 'Soviet aircraft carrier Kiev', ""Saint Sophia's Cathedral, Kiev"", 'Grand Prince of Kiev', 'Timeline of Kiev', 'Kiev Missal', 'Kiev Fortress', ""St Andrew's Church, Kiev"", 'Kiev local election, 2008', 'Battle of Kiev (1943)', 'Chicken Kiev', 'Old Kiev', 'Fiodor of Kiev']","['2269436', '3455216', '4052963', '1473818', '13396275', '2598964', '158407', '585629', '2201601', '1332689', '3651761', '1583341', '17104279', '38903340', '19260489', '494884', '478837', '4997635', '1279744', '16466967', '38753503', '21771156', '7187856', '40751628', '765800', '957669', '1793863', '3136521', '37680448', '5883842']"
1687,germany,"['Germany', 'West Germany', 'East Germany', 'States of Germany', 'Nazi Germany', 'Chancellor of Germany', 'History of Germany', 'Outline of Germany', 'History of Germany (1945–90)', 'Demographics of Germany', 'Turks in Germany', 'Germany national football team', 'Flag of Germany', 'Cinema of Germany', 'President of Germany', 'Football in Germany', 'Names of Germany', 'Northern Germany', 'Allied-occupied Germany', 'Politics of Germany', 'German Empire', 'Economy of Germany', 'Elections in Germany', 'History of the Jews in Germany', 'German reunification', 'Music of Germany', 'Germany–United States relations', 'Germany–Russia relations', 'Foreign relations of Germany', 'Education in Germany']","['2949977', '20890626', '10612', '11929', '13058', '11930', '375698', '1263999', '70776', '2110610', '11934', '12674', '61103', '11867', '250204', '4089847', '4042584', '13224', '261678', '1263527', '244795', '4738979', '21212', '5404874', '16278720', '11935', '60567', '217450', '4281228', '33166']"
1688,baden-wuerttemberg,"['Baden-Württemberg', 'Film Academy Baden-Württemberg', 'Order of Merit of Baden-Württemberg', 'Baden-Württemberg Police', 'Baden-Wuerttemberg Cooperative State University Loerrach', 'U.S. Army Garrison Baden-Württemberg', 'Kirchberg convent', 'Brühl (Baden)', 'Württemberg-Baden', 'History of Baden-Württemberg', 'Oberliga Baden-Württemberg', 'Theodor Sproll', 'Alt Eberstein', 'CDU Baden-Württemberg', 'Coat of arms of Baden-Württemberg', 'Baden-Württemberg Cooperative State University', 'Landesbank Baden-Württemberg', 'Waldenburg, Baden-Württemberg', 'Baden-Württemberg state election, 2016', 'Kohlberg, Baden-Württemberg', 'Rottenacker', 'Salem, Baden-Württemberg', 'Urbach, Baden-Württemberg', 'Pfaffenhofen, Baden-Württemberg', 'Peter Hauk', 'Lichtenau, Baden-Württemberg', 'Heinrich Köhler', 'Württemberg (wine region)', 'VBU Volksbank im Unterland eG', 'Winfried Hermann']","['12234429', '29563506', '66401', '20982553', '8770838', '49215683', '561297', '10841727', '7407309', '11105461', '16778091', '140917', '11549244', '10036385', '4196747', '3837112', '14066904', '35325008', '50979700', '10037877', '7384770', '1296221', '41574478', '20092332', '11947896', '47048077', '1276505', '51011668', '1946610', '14991688']"
